row_id,partner_id,partner_name,partner_type,click_date,clicks,conversions,revenue,commission_paid,campaign,device_type,region
37,PTR019,GamerGearReviews,Content Site,21-01-2025,1563,141,13387.56,1606.51,Summer Clearance 2025,Desktop,AU
38,PTR011,ParentingPulse,Content Site,01-06-2025,3641,449,68242.71,10236.41,Black Friday 2025,Tablet,US
39,PTR019,GamerGearReviews,Content Site,09/02/2025,1597,89,11076.74,1329.21,Back to School 2025,Mobile,US
40,PTR006,HomeAndGardenTips,Content Site,25-09-2025,972,129,11001.62,550.08,Black Friday 2025,Desktop,CA
41,PTR014,OutdoorLifeReview,Content Site,27-10-2025,952,46,9008.79,1081.05,New Year Refresh 2026,Tablet,CA
42,PTR016,PetLoversHub,Content Site,12/16/2025,2073,98,9807.52,1961.5,Black Friday 2025,Tablet,CA
43,PTR014,OutdoorLifeReview,Content Site,2025-05-30,1193,40,2636.21,395.43,Spring Sale 2025,Mobile,US
44,PTR018,WellnessWeekly,Influencer,02/27/2026,2287,91,7526.06,376.3,Holiday Gift Guide 2025,Mobile,US
45,PTR008,TravelWithMe,Content Site,25-04-2025,3013,81,10852.87,1627.93,Holiday Gift Guide 2025,Mobile,UK
46,PTR011,ParentingPulse,Content Site,2025-03-21,1425,56,"$1,858.57",$371.71,Spring Sale 2025,Desktop,US
47,PTR002,Coupon King,Coupon Site,06/11/2025,3619,215,33991.29,6798.26,Holiday Gift Guide 2025,Desktop,US
48,PTR008,TravelWithMe,Content Site,2025-07-16,2201,96,6356.19,317.81,New Year Refresh 2026,Mobile,UK
49,PTR015,CampusCoupons,Coupon Site,02/14/2025,1497,51,3743.92,748.78,Summer Clearance 2025,Tablet,AU
50,PTR004,InfluenceHer,Influencer,06/07/2026,1696,149,"$9,974.50",997.45,New Year Refresh 2026,Mobile,US
51,PTR011,ParentingPulse,Content Site,07/24/2025,1652,129,16415.29,820.76,Black Friday 2025,Tablet,CA
52,PTR008,TravelWithMe,Content Site,13-04-2026,597,67,13082.55,654.13,Holiday Gift Guide 2025,,DE
53,PTR008,TravelWithMe,Content Site,09-02-2026,5469,0,0.0,0.0,Black Friday 2025,Mobile,UK
54,PTR004,InfluenceHer,Influencer,2025-11-23,1915,72,1826.93,219.23,Summer Clearance 2025,Mobile,DE
55,PTR011,ParentingPulse,Content Site,26-06-2025,3971,0,$0.00,$0.00,Summer Clearance 2025,Desktop,AU
56,PTR016,PetLoversHub,Content Site,09/20/2025,2668,445,51216.43,5121.64,Holiday Gift Guide 2025,Desktop,DE
57,PTR014,OutdoorLifeReview,Content Site,12/27/2025,3397,290,11090.44,887.24,Holiday Gift Guide 2025,Mobile,US
58,PTR011,ParentingPulse,Content Site,27-11-2025,2572,87,18050.7,$902.54,Back to School 2025,Desktop,UK
59,PTR011,ParentingPulse,Content Site,20-05-2025,1927,107,20505.41,4101.08,Black Friday 2025,Desktop,US
60,PTR018,WellnessWeekly,Influencer,23-06-2026,2923,167,18269.92,913.5,Black Friday 2025,Mobile,CA
61,PTR017,AutoDealsDaily,Affiliate,2025-03-27,1080,29,2752.64,220.21,New Year Refresh 2026,Desktop,US
62,PTR011,ParentingPulse,Content Site,2025-09-14,379,43,5820.49,291.02,Spring Sale 2025,Tablet,US
63,PTR020,EcoLivingToday,Content Site,21-03-2026,2981,173,7834.73,626.78,Black Friday 2025,Desktop,US
64,PTR012,FoodieFinds,Content Site,06-01-2025,3560,207,5142.02,$514.20,Holiday Gift Guide 2025,Tablet,US
65,PTR008,TravelWithMe,Content Site,16-02-2025,980,113,8129.23,650.34,Summer Clearance 2025,Tablet,US
66,PTR012,FoodieFinds,Content Site,06/16/2025,1460,82,12123.47,1818.52,Black Friday 2025,Mobile,AU
67,PTR017,AutoDealsDaily,Affiliate,12/10/2025,2375,159,21725.48,4345.1,Back to School 2025,Desktop,US
68,PTR004,InfluenceHer,Influencer,2025-12-10,568,61,11308.04,"$2,261.61",Spring Sale 2025,Mobile,US
69,PTR018,WellnessWeekly,Influencer,2025-01-23,3987,191,31334.88,2506.79,Summer Clearance 2025,Desktop,US
70,PTR002,Coupon King,Coupon Site,2025-09-24,2068,94,3137.52,627.5,Spring Sale 2025,Desktop,CA
71,PTR007,FitLifeCoach,Influencer,23-05-2025,3704,461,69371.6,8324.59,Holiday Gift Guide 2025,Tablet,DE
72,PTR004,InfluenceHer,Influencer,2026-01-12,3500,224,17631.89,2644.78,Back to School 2025,Desktop,DE
73,PTR019,GamerGearReviews,Content Site,2026-05-15,2930,38,"$4,879.86",487.99,Spring Sale 2025,Desktop,DE
74,PTR016,PetLoversHub,Content Site,23-04-2025,2769,204,22707.8,3406.17,Back to School 2025,Desktop,US
75,PTR001,StyleBlog Daily,Content Site,05/01/2026,3966,500,30823.18,1541.16,New Year Refresh 2026,Tablet,CA
76,PTR012,FoodieFinds,Content Site,2025-08-20,1744,172,10927.8,"$1,639.17",Spring Sale 2025,Mobile,US
77,PTR007,FitLifeCoach,Influencer,30-05-2026,2810,134,14254.25,1710.51,Back to School 2025,Tablet,AU
78,PTR002,CouponKing ,Coupon Site,24-11-2025,578,71,4840.95,580.91,New Year Refresh 2026,Tablet,US
79,PTR010,SavvyShopperNet,Loyalty/Cashback,01/29/2025,208,22,"$4,195.57",839.11,New Year Refresh 2026,,AU
80,PTR008,TravelWithMe,Content Site,26-01-2026,1322,59,6831.41,$546.51,Summer Clearance 2025,Mobile,CA
81,PTR017,AutoDealsDaily,Affiliate,04/07/2026,690,10,"$1,507.15",301.43,Summer Clearance 2025,Mobile,UK
82,PTR008,TravelWithMe,Content Site,04/02/2026,1607,162,7436.24,371.81,Spring Sale 2025,Desktop,US
83,PTR011,ParentingPulse,Content Site,2025-12-29,3976,341,31346.21,4701.93,Holiday Gift Guide 2025,Mobile,DE
84,PTR007,FitLifeCoach,Influencer,08/11/2025,860,58,1052.32,84.19,Black Friday 2025,Tablet,UK
85,PTR011,ParentingPulse,Content Site,01/06/2025,802,112,"$24,416.48",1953.32,Summer Clearance 2025,Mobile,DE
86,PTR001,StyleBlog Daily,Content Site,2025-11-05,2125,58,8552.96,,Black Friday 2025,Mobile,UK
87,PTR002,Coupon King,Coupon Site,2026-03-04,3830,411,47903.57,9580.71,Spring Sale 2025,Mobile,US
88,PTR020,EcoLivingToday,Content Site,01-08-2025,336,22,2651.46,$530.29,Black Friday 2025,Mobile,US
89,PTR016,PetLoversHub,Content Site,06/13/2026,3367,184,"$29,524.96",3543.0,Summer Clearance 2025,Mobile,US
90,PTR017,AutoDealsDaily,Affiliate,2025-04-08,3948,122,8765.86,1753.17,Summer Clearance 2025,Mobile,CA
91,PTR003,TechReviewHub,Content Site,26-08-2025,1696,127,4115.43,205.77,Holiday Gift Guide 2025,Mobile,DE
92,PTR008,TravelWithMe,Content Site,2025-06-16,3615,153,26834.55,3220.15,Summer Clearance 2025,Desktop,AU
93,PTR013,BudgetBeautyBlog,Influencer,04/26/2026,3615,351,55902.34,8385.35,Back to School 2025,Tablet,US
94,PTR007,FitLifeCoach,Influencer,01/08/2026,291,36,5435.8,271.79,Back to School 2025,Tablet,US
95,PTR010,SavvyShopperNet,Loyalty/Cashback,2025-04-06,432,16,2219.03,$110.95,Back to School 2025,Desktop,UK
96,PTR008,TravelWithMe,Content Site,04/21/2025,3467,61,3743.12,449.17,New Year Refresh 2026,Tablet,US
97,PTR014,OutdoorLifeReview,Content Site,02-06-2025,2964,30,3455.05,691.01,New Year Refresh 2026,Tablet,CA
98,PTR013,BudgetBeautyBlog,Influencer,05-03-2026,2041,135,8393.42,419.67,Holiday Gift Guide 2025,Tablet,DE
99,PTR005,Deal Seeker 247,Coupon Site,03-08-2025,1635,11,1273.84,63.69,Black Friday 2025,Tablet,DE
100,PTR010,SavvyShopperNet,Loyalty/Cashback,2026-05-13,3121,299,"$15,938.60",1593.86,Summer Clearance 2025,Tablet,US
101,PTR014,OutdoorLifeReview,Content Site,2025-11-29,690,45,2917.5,145.88,Holiday Gift Guide 2025,Tablet,US
102,,,,,,,,,,,
103,PTR004,InfluenceHer,Influencer,2026-01-17,2283,279,42506.41,5100.77,Spring Sale 2025,Tablet,DE
104,PTR018,WellnessWeekly,Influencer,2025-06-30,7218,0,0.0,0.0,Summer Clearance 2025,Desktop,US
105,PTR014,OutdoorLifeReview,Content Site,07/24/2025,3656,222,43856.15,3508.49,Black Friday 2025,Mobile,US
106,PTR006,HomeAndGardenTips,Content Site,06/20/2025,1188,50,1299.52,129.95,Summer Clearance 2025,Mobile,US
107,PTR007,FitLifeCoach,Influencer,2026-02-08,541,71,1852.76,370.55,Summer Clearance 2025,Tablet,CA
108,PTR017,AutoDealsDaily,Affiliate,10/14/2025,2122,134,14988.24,"$2,997.65",New Year Refresh 2026,Tablet,UK
109,PTR014,OutdoorLifeReview,Content Site,24-02-2026,307,7,773.47,116.02,Black Friday 2025,Mobile,CA
110,PTR020,EcoLivingToday,Content Site,2025-01-22,3227,493,28134.1,4220.11,Back to School 2025,Mobile,AU
111,PTR003,TechReviewHub.,Content Site,2025-08-20,1579,155,20349.17,"$2,034.92",Spring Sale 2025,Desktop,US
112,PTR013,BudgetBeautyBlog,Influencer,27-01-2025,3957,38,5100.72,$612.09,Summer Clearance 2025,Mobile,CA
113,PTR013,BudgetBeautyBlog,Influencer,02-04-2025,3306,203,8751.64,700.13,Holiday Gift Guide 2025,Mobile,CA
114,PTR017,AutoDealsDaily,Affiliate,2026-05-21,3490,182,15067.82,3013.56,Summer Clearance 2025,Tablet,
115,PTR006,HomeAndGardenTips,Content Site,2025-01-09,1038,143,22940.13,"$2,294.01",Black Friday 2025,Desktop,DE
116,PTR001,StyleBlog Daily,Content Site,12/09/2025,1017,30,$784.76,$78.48,Holiday Gift Guide 2025,Mobile,AU
117,PTR014,OutdoorLifeReview,Content Site,01/19/2026,1842,177,27427.87,5485.57,Back to School 2025,Tablet,CA
118,PTR002,couponking,Coupon Site,2026-03-31,2490,294,25404.09,3048.49,Black Friday 2025,Tablet,UK
119,PTR010,SavvyShopperNet,Loyalty/Cashback,09/01/2025,504,36,3913.5,195.68,Holiday Gift Guide 2025,Tablet,
120,PTR017,AutoDealsDaily,Affiliate,10/30/2025,1651,197,32094.84,3209.48,Holiday Gift Guide 2025,Desktop,US
121,PTR009,GadgetGuru,Content Site,2026-05-05,3372,232,36127.61,2890.21,Summer Clearance 2025,Mobile,US
122,PTR002,CouponKing ,Coupon Site,2025-09-24,2896,91,10597.56,1271.71,Black Friday 2025,Desktop,US
123,PTR005,Deal Seeker 247,Coupon Site,02/21/2026,348,29,1281.37,192.21,Black Friday 2025,Tablet,AU
124,PTR011,ParentingPulse,Content Site,27-03-2025,3625,294,41264.02,,Summer Clearance 2025,Desktop,US
125,PTR002,couponking,Coupon Site,2026-02-16,2563,69,2375.01,237.5,Summer Clearance 2025,Desktop,US
126,PTR005,DealSeeker_247,Coupon Site,02-07-2025,2227,62,"$5,406.94",$648.83,New Year Refresh 2026,Tablet,DE
127,PTR009,GadgetGuru,Content Site,03-02-2025,1522,66,"$5,897.14",1179.43,Black Friday 2025,Mobile,US
128,PTR016,PetLoversHub,Content Site,01/21/2025,2402,135,12866.22,14544.08,Black Friday 2025,Desktop,DE
129,PTR015,CampusCoupons,Coupon Site,2025-10-13,2995,237,24652.97,1972.24,Spring Sale 2025,Tablet,CA
130,PTR010,SavvyShopperNet,Loyalty/Cashback,03/07/2026,1527,87,"$9,697.02",1939.4,Summer Clearance 2025,Desktop,UK
131,PTR017,AutoDealsDaily,Affiliate,2026-05-21,3490,182,15067.82,3013.56,Summer Clearance 2025,Tablet,
132,PTR004,InfluenceHer,Influencer,2025-05-21,3955,402,83086.0,9970.32,Back to School 2025,Desktop,AU
133,PTR016,PetLoversHub,Content Site,05-06-2026,1582,51,"$6,547.88",327.39,Summer Clearance 2025,,DE
134,PTR019,GamerGearReviews,Content Site,08-02-2026,1308,66,3847.75,$307.82,Black Friday 2025,Tablet,AU
135,PTR014,OutdoorLifeReview,Content Site,05/18/2025,2984,88,2242.88,$336.43,Black Friday 2025,Mobile,US
136,PTR005,Deal Seeker 247,Coupon Site,2026-01-18,2272,31,4104.63,492.56,Summer Clearance 2025,Desktop,UK
137,PTR012,FoodieFinds,Content Site,12-05-2025,2689,63,3444.03,413.28,Holiday Gift Guide 2025,Tablet,US
138,PTR017,AutoDealsDaily,Affiliate,13-02-2025,1842,214,26176.67,2094.13,Holiday Gift Guide 2025,Mobile,US
139,PTR020,EcoLivingToday,Content Site,06/21/2026,1781,179,35761.28,3576.13,Spring Sale 2025,Desktop,CA
140,PTR009,GadgetGuru,Content Site,07/02/2025,289,35,"$1,805.32",216.64,Holiday Gift Guide 2025,Mobile,DE
141,PTR003,TechReviewHub.,Content Site,03/09/2025,473,4,437.95,52.55,Spring Sale 2025,Desktop,DE
142,PTR020,EcoLivingToday,Content Site,07-06-2026,2865,43,2754.05,$137.70,Black Friday 2025,Desktop,UK
143,PTR016,PetLoversHub,Content Site,03/21/2026,2345,130,24927.91,3739.19,Holiday Gift Guide 2025,Desktop,US
144,PTR011,ParentingPulse,Content Site,01/22/2026,3422,330,39097.28,4691.67,New Year Refresh 2026,Mobile,US
145,PTR001,StyleBlog Daily,Content Site,2025-07-12,862,16,3002.05,450.31,Summer Clearance 2025,,US
146,PTR009,GadgetGuru,Content Site,30-08-2025,1775,72,11980.88,1437.71,Black Friday 2025,Desktop,CA
147,PTR019,GamerGearReviews,Content Site,08-03-2025,1410,154,14358.71,2871.74,Summer Clearance 2025,Mobile,DE
148,PTR005,Deal Seeker 247,Coupon Site,07-02-2026,567,43,6043.73,1208.75,Holiday Gift Guide 2025,Mobile,DE
149,PTR017,AutoDealsDaily,Affiliate,04/22/2025,2068,197,39654.94,7930.99,Spring Sale 2025,Tablet,US
150,PTR017,AutoDealsDaily,Affiliate,07/26/2025,2886,83,16734.72,3346.94,Spring Sale 2025,Mobile,
151,PTR020,EcoLivingToday,Content Site,03/31/2025,1917,51,8559.77,$427.99,Summer Clearance 2025,Tablet,US
152,PTR019,GamerGearReviews,Content Site,02/13/2026,903,22,3738.58,186.93,Black Friday 2025,Tablet,CA
153,PTR007,FitLifeCoach,Influencer,2025-10-31,1483,17,1210.97,60.55,Black Friday 2025,,CA
154,PTR012,FoodieFinds,Content Site,2025-08-30,2740,108,12745.8,2549.16,Back to School 2025,Tablet,UK
155,PTR009,GadgetGuru,Content Site,2025-05-03,650,34,4715.02,377.2,Spring Sale 2025,Mobile,US
156,,,,,,,,,,,
157,PTR005,DealSeeker_247,Coupon Site,2025-07-27,1270,194,20013.66,1601.09,Spring Sale 2025,Desktop,CA
158,PTR001,StyleBlog Daily,Content Site,2025-07-05,2324,50,10711.06,535.55,Black Friday 2025,Desktop,AU
159,PTR002,CouponKing,Coupon Site,04/05/2026,2349,208,37461.73,5619.26,Back to School 2025,Desktop,AU
160,PTR018,WellnessWeekly,Influencer,2025-09-14,455,3,530.84,42.47,Back to School 2025,Mobile,US
161,PTR005,Deal Seeker 247,Coupon Site,05/11/2026,1366,91,7367.76,589.42,Black Friday 2025,Tablet,AU
162,PTR015,CampusCoupons,Coupon Site,2025-06-13,2324,281,46607.66,5592.92,Black Friday 2025,Mobile,US
163,PTR020,EcoLivingToday,Content Site,10-10-2025,1632,116,13213.08,"$1,321.31",Back to School 2025,Desktop,US
164,PTR018,WellnessWeekly,Influencer,30-06-2025,3496,401,10563.18,528.16,Black Friday 2025,Mobile,US
165,PTR013,BudgetBeautyBlog,Influencer,07-02-2025,3765,91,10130.86,1215.7,Back to School 2025,Desktop,US
166,PTR019,GamerGearReviews,Content Site,19-04-2025,3059,264,37851.55,5677.73,Back to School 2025,Mobile,US
167,PTR020,EcoLivingToday,Content Site,08/14/2025,1468,26,3499.69,279.98,Spring Sale 2025,Mobile,US
168,PTR010,SavvyShopperNet,Loyalty/Cashback,01/09/2025,3083,115,19449.68,3889.94,New Year Refresh 2026,Tablet,CA
169,PTR006,HomeAndGardenTips,Content Site,2025-01-01,3828,115,"$17,755.95",1775.6,Holiday Gift Guide 2025,Tablet,AU
170,PTR011,ParentingPulse,Content Site,02/25/2026,648,14,2342.82,281.14,Summer Clearance 2025,Mobile,AU
171,PTR003,Tech Review Hub,Content Site,06-09-2025,2655,50,10710.59,535.53,Black Friday 2025,Desktop,AU
172,PTR017,AutoDealsDaily,Affiliate,11/21/2025,2514,251,50427.21,6051.27,Back to School 2025,Desktop,US
173,PTR007,FitLifeCoach,Influencer,04/12/2026,138,13,2731.6,409.74,Back to School 2025,Mobile,UK
174,PTR001,StyleBlog Daily,Content Site,2026-05-14,3730,0,0.0,0.0,New Year Refresh 2026,Mobile,AU
175,PTR015,CampusCoupons,Coupon Site,2025-11-26,2305,67,3991.86,598.78,New Year Refresh 2026,Tablet,UK
176,PTR018,WellnessWeekly,Influencer,16-02-2025,3650,87,4258.74,$212.94,New Year Refresh 2026,Tablet,US
177,PTR014,OutdoorLifeReview,Content Site,2025-09-16,7418,0,0.0,$0.00,Spring Sale 2025,Tablet,UK
178,PTR016,PetLoversHub,Content Site,2026-04-20,114,2,292.63,58.53,Summer Clearance 2025,Desktop,US
179,PTR006,HomeAndGardenTips,Content Site,20-09-2025,2467,58,1199.4,119.94,New Year Refresh 2026,Desktop,DE
180,PTR009,GadgetGuru,Content Site,2026-04-02,3677,150,3413.45,409.61,Holiday Gift Guide 2025,Desktop,
181,PTR002,CouponKing,Coupon Site,03/10/2026,4071,0,$0.00,0.0,Spring Sale 2025,Tablet,DE
182,PTR020,EcoLivingToday,Content Site,05/20/2025,1318,111,5707.14,684.86,New Year Refresh 2026,Tablet,US
183,PTR011,ParentingPulse,Content Site,13-07-2025,1953,253,"$20,969.86",3145.48,Back to School 2025,Tablet,US
184,PTR010,SavvyShopperNet,Loyalty/Cashback,2025-02-18,1451,186,8920.92,1338.14,New Year Refresh 2026,Tablet,CA
185,PTR001,StyleBlog Daily,Content Site,2025-05-02,1909,59,10555.73,"$1,266.69",Holiday Gift Guide 2025,Desktop,US
186,PTR002,CouponKing ,Coupon Site,2026-05-15,32,0,$0.00,$0.00,New Year Refresh 2026,Tablet,US
187,PTR002,CouponKing ,Coupon Site,08/23/2025,3239,205,41227.77,8245.55,Back to School 2025,Mobile,DE
188,PTR009,GadgetGuru,Content Site,06/20/2025,524,68,2665.71,133.29,Holiday Gift Guide 2025,Desktop,DE
189,,,,,,,,,,,
190,PTR010,SavvyShopperNet,Loyalty/Cashback,01/07/2025,913,51,10627.7,1062.77,Spring Sale 2025,Mobile,CA
191,PTR005,DealSeeker247,Coupon Site,03/21/2025,3463,237,39442.02,5916.3,Summer Clearance 2025,Tablet,US
192,PTR014,OutdoorLifeReview,Content Site,2025-02-09,1581,55,11616.27,2323.25,New Year Refresh 2026,Tablet,US
193,PTR013,BudgetBeautyBlog,Influencer,12/01/2025,1859,23,4022.4,603.36,Black Friday 2025,Mobile,UK
194,PTR008,TravelWithMe,Content Site,01/03/2025,1459,134,16348.93,"$3,269.79",Summer Clearance 2025,Desktop,CA
195,PTR010,SavvyShopperNet,Loyalty/Cashback,06/18/2026,3105,54,6787.05,678.71,Black Friday 2025,Tablet,US
196,PTR003,Tech Review Hub,Content Site,2026-04-07,3078,208,"$4,343.77",434.38,Back to School 2025,Desktop,AU
197,PTR006,HomeAndGardenTips,Content Site,2025-09-16,2077,30,4605.08,552.61,Black Friday 2025,Mobile,
198,PTR008,TravelWithMe,Content Site,03/22/2025,1824,146,,778.54,Black Friday 2025,Mobile,US
199,PTR015,CampusCoupons,Coupon Site,2026-05-16,343,24,$520.86,41.67,Holiday Gift Guide 2025,Desktop,CA
200,PTR006,HomeAndGardenTips,Content Site,27-04-2026,578,40,3974.48,$397.45,Spring Sale 2025,Desktop,US
201,PTR014,OutdoorLifeReview,Content Site,11-04-2026,2918,324,"$51,975.21",6237.03,Holiday Gift Guide 2025,Mobile,US
202,PTR009,GadgetGuru,Content Site,04/13/2026,820,51,4752.16,475.22,New Year Refresh 2026,,US
203,PTR010,SavvyShopperNet,Loyalty/Cashback,05-10-2025,410,17,"$1,612.63",161.26,Holiday Gift Guide 2025,,DE
204,PTR012,FoodieFinds,Content Site,2026-02-06,3656,262,28889.1,4333.36,Spring Sale 2025,Tablet,US
205,PTR012,FoodieFinds,Content Site,18-09-2025,352,6,522.44,78.37,Black Friday 2025,Desktop,US
206,PTR014,OutdoorLifeReview,Content Site,10-05-2026,3204,101,16639.89,1331.19,Black Friday 2025,Tablet,US
207,PTR005,DealSeeker_247,Coupon Site,02/03/2026,1482,12,1065.4,$106.54,Black Friday 2025,Mobile,UK
208,PTR013,BudgetBeautyBlog,Influencer,04/14/2025,1241,179,18715.89,3743.18,New Year Refresh 2026,Mobile,US
209,PTR001,StyleBlog Daily,Content Site,2025-05-08,1812,200,43823.46,"$3,505.88",Back to School 2025,Mobile,US
210,PTR017,AutoDealsDaily,Affiliate,19-01-2026,2656,129,14674.57,1467.46,Back to School 2025,Desktop,US
211,PTR004,InfluenceHer,Influencer,08/12/2025,2870,160,34010.5,6802.1,Spring Sale 2025,Desktop,CA
212,PTR010,SavvyShopperNet,Loyalty/Cashback,18-11-2025,2970,279,19345.93,,Holiday Gift Guide 2025,Tablet,UK
213,PTR008,TravelWithMe,Content Site,17-04-2025,3016,63,5317.34,1063.47,Black Friday 2025,Tablet,US
214,PTR009,GadgetGuru,Content Site,2025-04-18,1405,88,"$11,188.71",559.44,Spring Sale 2025,Tablet,US
215,PTR018,WellnessWeekly,Influencer,2026-05-16,3760,651,79688.0,3984.4,Black Friday 2025,Mobile,US
216,PTR016,PetLoversHub,Content Site,07-01-2025,3928,277,32112.55,4816.88,Holiday Gift Guide 2025,Mobile,US
217,PTR003,TechReviewHub.,Content Site,2025-06-26,1019,124,17361.25,1736.12,Black Friday 2025,Desktop,US
218,PTR002,CouponKing,Coupon Site,31-12-2025,635,38,2382.54,357.38,New Year Refresh 2026,Desktop,US
219,PTR003,Tech Review Hub,Content Site,12-06-2026,2597,76,4799.25,479.93,Spring Sale 2025,Mobile,AU
220,PTR020,EcoLivingToday,Content Site,07-11-2025,910,50,3627.75,725.55,Summer Clearance 2025,Mobile,AU
221,PTR009,GadgetGuru,Content Site,10-05-2025,3971,310,54515.47,10903.09,Black Friday 2025,Tablet,CA
222,PTR005,Deal Seeker 247,Coupon Site,2025-08-07,2434,31,5279.23,422.34,Summer Clearance 2025,Desktop,CA
223,PTR003,TechReviewHub,Content Site,2025-03-08,3701,216,40757.36,4075.74,Summer Clearance 2025,Mobile,US
224,PTR013,BudgetBeautyBlog,Influencer,2025-05-29,2750,139,30110.76,6022.15,Back to School 2025,Tablet,US
225,PTR002,Coupon King,Coupon Site,10/26/2025,1635,122,5993.83,599.38,Holiday Gift Guide 2025,Tablet,US
226,PTR004,InfluenceHer,Influencer,18-06-2026,858,59,4792.45,$958.49,Black Friday 2025,Desktop,UK
227,PTR001,StyleBlog Daily,Content Site,02/02/2025,3609,153,"$14,098.80",1691.86,New Year Refresh 2026,Tablet,CA
228,PTR016,PetLoversHub,Content Site,01-04-2025,3390,82,5191.09,259.55,Back to School 2025,Tablet,UK
229,PTR007,FitLifeCoach,Influencer,2026-03-30,3738,285,38651.41,7730.28,Black Friday 2025,Desktop,AU
